District,Expected,Collected,Pending,Disposed,PDFs,Judgments,Orders(downloaded),Total Orders,Cases with judgments,Disposed Cases without judgments,Judgment in English,Average word count
Baksa,208,207,142,65,34,27,7,9,27,38,5,995.8888888888889
Barpeta,704,704,232,472,122,122,0,2,122,350,122,2528.622950819672
Bongaigaon,102,102,53,49,19,17,2,2,17,32,15,3073.0
Cachar,301,301,138,163,96,72,24,25,71,92,71,1789.661971830986
Chirang,120,120,41,79,86,41,45,46,41,38,0,0
Darrang,184,184,122,62,41,0,41,5,36,26,36,2082.1388888888887
Dhemaji,163,163,39,124,55,55,0,0,55,69,51,1855.0363636363636
Dhubri,290,290,108,182,96,94,2,2,94,88,94,3370.9893617021276
Dibrugarh,171,171,23,148,80,80,0,0,80,68,80,2944.9125
Dima Hasao,26,26,20,6,4,2,2,2,2,4,0,0
Goalpara,101,101,80,21,10,10,0,0,10,11,10,1291.0
Golaghat,332,332,150,182,33,0,33,33,0,182,0,0
Hailakandi,197,197,105,92,52,39,13,13,39,53,35,1767.2307692307693
Jorhat,185,185,92,93,44,44,0,0,44,49,44,3416.2272727272725
Kamrup,374,374,175,199,69,0,69,69,0,199,0,0
Kamrup Metro,739,739,226,513,19,19,0,0,19,494,19,3221.7368421052633
Karbi Anglong,184,184,121,63,39,39,0,0,39,24,39,2776.6923076923076
Karimganj,96,95,51,44,235,0,235,237,0,44,0,0
Kokrajhar,186,186,100,86,58,52,6,6,52,34,51,2084.096153846154
Lakhimpur,170,170,57,113,23,23,0,0,23,90,23,2073.3478260869565
Morigaon,416,416,261,155,113,69,44,44,69,86,69,1991.9855072463768
Nagaon,407,407,259,148,28,24,4,4,24,124,19,1889.7916666666667
Nalbari,239,239,108,131,225,19,206,228,19,112,19,3423.5263157894738
Sivasagar,470,470,168,302,115,92,23,23,92,210,92,3462.5760869565215
Sonitpur,462,462,149,313,148,148,0,0,148,165,109,3203.7297297297296
Tinsukia,262,262,141,121,35,35,0,0,35,86,35,1825.2571428571428
Udalguri,153,153,61,92,80,2,78,78,2,90,2,1658.0
